blues:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
Baba~:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
ビッグしいたけこちゃん❄:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
・ (スマブラ):RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
GammaRhea:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
TheTexasDragonScale2001:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
よしにあ:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
ジャコランタン:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
アイクラをさわ…アライさん:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
かつを:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
るぅ:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
Ados:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
RF ¦ Heimzjmj:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
K鮪:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
Leo:RT @PlugandBug: Zelda can now Displace Phantom with a short hop and input down B between the 2nd and the 10th frame or her jump ! Big thank…
Leo:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
xWhiskey #BLM:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
Chocobo:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
Revenge:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
kattn #RoadtoSmashPro:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
GIG / DuNT:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
Baisy (CEO of Rosa and Daisy):RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
かんふーは勉強中:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
x4ta:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
T3 DOM:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
いえさぶ:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
owo:RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
LordEnder (69420):RT @PlugandBug: Have you ever wondered what Phantom would look like if you could preview its hitboxes and windboxes based on its charge lev…
